nombre_ent,nombre_mun,nombre_tip,d_nombre,d_codigopo
Baja California Sur,Los Cabos,Colonia,Magisterial,23405
Quintana Roo,Solidaridad,Fraccionamiento,La Ceiba,77714
Tabasco,Tacotalpa,Ejido,Cerro Blanco 2a Secc,86893
Tlaxcala,Ixtacuixtla de Mariano Matamoros,Barrio,Cerro Gordo,90120
Sonora,Cajeme,Colonia,Campestre,85160
Tamaulipas,Nuevo Laredo,Colonia,Madero,88270
Morelos,Xochitepec,Colonia,Francisco Villa,62790
Zacatecas,Villanueva,Colonia,Lindavista,99545
Jalisco,Zapopan,Colonia,Los Cajetes,45234
Baja California,Tijuana,Fraccionamiento,Bugambilias (Jacarandas),22216
Nayarit,Compostela,Colonia,Miramar,63720
Baja California Sur,Los Cabos,Fraccionamiento,Lomas Residencial 1a  Etapa,23444
Quintana Roo,Solidaridad,Colonia,Supermanzana 52,77712
Tabasco,Tacotalpa,Ejido,Libertad,86893
Tlaxcala,Ixtacuixtla de Mariano Matamoros,Barrio,Chapultepec,90120
Morelos,Xochitepec,Colonia,La Esperanza,62790
Hidalgo,Ixmiquilpan,Colonia,El Bondho,42304
Oaxaca,Santiago Chazumba,Colonia,Cerro Colorado,69010
Nayarit,Compostela,Colonia,El Campesino,63720
Baja California Sur,Los Cabos,Fraccionamiento,Lomas Residencial 2a Etapa,23444
Tlaxcala,Ixtacuixtla de Mariano Matamoros,Barrio,La Escondida,90120
Tamaulipas,Nuevo Laredo,Fraccionamiento,Balcones del Boulevard,88274
Morelos,Xochitepec,Colonia,Campo la Canela,62790
Hidalgo,Ixmiquilpan,Colonia,Botenguedho,42325
Nayarit,Compostela,Colonia,Cerro de La Cruz,63720
Coahuila de Zaragoza,Guerrero,Villa,Guerrero,26640
Tabasco,Tacotalpa,Pueblo,Puxcatan,86894
Tlaxcala,Ixtacuixtla de Mariano Matamoros,Barrio,El Calvario,90120
Morelos,Xochitepec,Barrio,Zempoala,62790
Zacatecas,Villanueva,Barrio,De Guadalupe,99544
Oaxaca,Salina Cruz,Colonia,Cesar Linton,70614
Jalisco,Zapopan,Colonia,Agua Blanca Industrial,45235
Quintana Roo,Cozumel,Fraccionamiento,Altamar,77645
Baja California Sur,La Paz,Fraccionamiento,Virreyes,23085
Tamaulipas,Nuevo Laredo,Fraccionamiento,INFONAVIT Fundadores,88275
Hidalgo,Huejutla de Reyes,Fraccionamiento,El Campamento,43000
Morelos,Xochitepec,Fraccionamiento,Real del Puente,62790
Puebla,Chignahuapan,Ejido,Acolihua,73298
Zacatecas,Villanueva,Barrio,De Santa Gertrudis,99543
Veracruz de Ignacio de la Llave,Xalapa,Colonia,Lealtad Institucional,91160
Oaxaca,Santiago Pinotepa Nacional,Unidad habitacional,C.F.E.,71604
Baja California,Tijuana,Colonia,Cerro Colorado I,22223
Nayarit,Compostela,Colonia,Isla del Verano,63720
Tamaulipas,Nuevo Laredo,Zona industrial,Parque Industrial FINSA,88275
Tlaxcala,Xicohtzinco,Fraccionamiento,El Llano 2,90780
Zacatecas,Villanueva,Fraccionamiento,Lomas Verdes,99546
Nayarit,Compostela,Colonia,Mirasol,63720
Baja California Sur,Los Cabos,Fraccionamiento,Quintas California,23456
Tamaulipas,Nuevo Laredo,Fraccionamiento,El Cortijo,88276
Hidalgo,Ixmiquilpan,Colonia,Cantinela,42323
Tlaxcala,Xicohtzinco,Fraccionamiento,El Llano 1,90780
Puebla,Chignahuapan,Ejido,Ajolotla,73300
Zacatecas,Villanueva,Colonia,Sierra Nevada,99545
Baja California Sur,La Paz,Colonia,El Palmar II,23084
Baja California,Tijuana,Colonia,Kino,22223
Nayarit,Compostela,Colonia,Juan Escutia,63720
Coahuila de Zaragoza,Guerrero,Ejido,Guadalupe,26659
Tamaulipas,Nuevo Laredo,Fraccionamiento,Colinas del Sur Oriente,88277
Puebla,Chignahuapan,Ejido,Cuautelolulco,73300
Zacatecas,Villanueva,Fraccionamiento,Magisterial II (centenario),99546
Baja California Sur,La Paz,Fraccionamiento,Villas de San Lorenzo,23085
